Year,Name,GACC,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,Lat,Long
2017,Mammoth Cave,GB,ID,Idaho,8/4/2017,8/8/2017,"49,912",H,"$560,000",43.0705221,-114.4138894
2017,Garza,SO,CA,California,7/9/2017,7/10/2017,"48,889",U,"$15,453,433",35.9914237,-120.2091750
2017,Eagle Creek,NW,OR,Oregon,9/2/2017,10/27/2017,"48,831",H,"$20,251,700",45.3502893,-122.3797294
2017,Frye,SW,AZ,Arizona,6/7/2017,8/31/2017,"48,443",L,"$20,000,000",34.1525505,-114.1731139
2017,Sawmill,SW,AZ,Arizona,4/23/2017,5/3/2017,"46,991",H,"$8,200,000",35.8927589,-109.1858269
2017,Bear Mountain,AK,AK,Alaska,7/9/2017,11/16/2017,"46,715",L,$0,61.4212192,-149.4161578
2017,Sapphire Complex,NR,MT,Montana,7/24/2017,10/4/2017,"43,733",U,"$35,406,736",46.1896598,-113.6372800
2017,Umpqua North Complex,NW,AK,Alaska,8/11/2017,10/12/2017,"43,158",U,"$42,890,561",52.3595581,170.4997112
2017,Powerline,NR,ID,Idaho,7/15/2017,7/29/2017,"42,558",L,"$2,958,255",45.4141789,-118.6314446
2017,Highway 200 Complex,NR,MT,Montana,9/1/2017,10/6/2017,"42,442",L,"$12,500,000",47.1564198,-110.2415482
2017,Earthstone,GB,NV,Nevada,7/3/2017,7/11/2017,"41,545",U,"$3,194,000",39.5063520,-119.7511617
2017,Boulder Creek,AK,AK,Alaska,7/2/2017,10/12/2017,"40,906",L,"$917,520",61.8345791,-148.4105558
2017,Helmet,AK,AK,Alaska,7/6/2017,8/24/2017,"40,202",L,"$26,978",60.1511078,-176.4697581
2016,Anderson Creek,SA,OK,Oklahoma,3/23/2016,4/4/2016,"367,740",U,"$1,750,000",39.8531321,-162.6311878
2016,Pioneer,GB,ID,Idaho,7/18/2016,10/27/2016,"188,404",U,"$90,000,000",43.6713233,-113.9303214
2016,Range 12,NW,WA,Washington,7/30/2016,8/8/2016,"176,600",U,"$1,700,000",47.1927793,-125.3698092
2016,Soberanes,SO,CA,California,7/22/2016,10/23/2016,"132,127",H,"$262,500,000",36.4544137,-121.9261611
2016,Hot Pot,GB,NV,Nevada,7/2/2016,7/10/2016,"122,292",U,"$3,402,259",38.4546153,-119.7780214
2016,Alatna Complex,AK,AK,Alaska,6/28/2016,7/24/2016,"113,157",L,"$1,040,018",66.5489800,-152.9830019
2016,Virginia Mountains Complex,GB,NV,Nevada,7/29/2016,8/6/2016,"59,727",L,"$8,000,200",40.0307701,-119.8477060
2016,Dulbi Flats,AK,AK,Alaska,6/26/2016,8/26/2016,"58,138",L,$0,65.7638016,-155.8837890
2016,350 Complex,SA,OK,Oklahoma,5/5/2016,5/15/2016,"57,167",U,"$900,000",35.4828833,-97.7593849
2016,Henrys Creek,GB,ID,Idaho,8/21/2016,8/31/2016,"52,972",U,"$4,320,000",44.3985308,-113.8714121
2016,Erskine,SO,CA,California,6/23/2016,7/7/2016,"48,019",U,"$23,000,000",37.3899188,-122.8239366
2016,Chimney,SO,CA,California,8/13/2016,9/5/2016,"46,344",U,"$78,300,000",37.3562781,-122.8240439
2016,Cedar,SW,AZ,Arizona,6/15/2016,7/28/2016,"45,977",U,"$14,000,000",34.7786434,-113.8111196
2016,Maple,RM,WY,Wyoming,8/8/2016,10/27/2016,"45,516",L,"$6,267,928",43.0096379,-109.7941975
2016,Crutch Complex,SA,TX,Texas,3/24/2016,3/24/2016,"44,696",U,$0,31.1003220,-104.5698554
2016,Big Mud,AK,AK,Alaska,6/1/2016,6/19/2016,"42,641",L,"$59,268",64.5473187,-153.4461827
2016,North,SW,NM,New Mexico,5/21/2016,7/14/2016,"42,102",L,"$4,800,000",34.1504097,-108.2696574
2016,Rail,NW,OR,Oregon,7/31/2016,9/29/2016,"41,706",U,"$34,900,000",33.8236096,-115.0311755
2016,Cottonwood CA,RM,SD,South Dakota,10/16/2016,10/18/2016,"41,360",U,"$170,000",41.8402576,-121.0872836
2015,Tanana Area Fires,AK,AK,Alaska,6/19/2015,8/6/2015,"498,043",L,"$14,049,552",65.1748882,-152.1407491
2015,Ruby Area Fires,AK,AK,Alaska,7/2/2015,8/4/2015,"421,613",L,"$2,845,925",64.7270379,-155.5404828
2015,Soda,GB,ID,Idaho,8/10/2015,8/23/2015,"285,361",U,"$6,250,000",42.6614706,-111.6237915
2015,Sushgitit Hills,AK,AK,Alaska,6/21/2015,8/15/2015,"270,747",L,"$51,000",66.0219604,-153.2372318
2015,North Star,NW,WA,Washington,8/13/2015,11/30/2015,"218,138",H,"$45,000,000",40.7419174,-74.1723131
2015,Holtnakatna,AK,AK,Alaska,6/22/2015,7/6/2015,"198,133",L,$0,60.1511078,-176.4697581
2015,Aniak Complex,AK,AK,Alaska,7/4/2015,7/19/2015,"157,783",L,"$6,492,120",61.5814852,-159.6178827
2015,Rough,SO,CA,California,7/31/2015,10/12/2015,"151,623",L,"$120,930,243",39.2336469,-121.1563275
2015,Okanogan Complex,NW,WA,Washington,8/14/2015,9/29/2015,"145,282",L,$0,48.4671350,-120.9814998
2015,Rock,AK,AK,Alaska,6/19/2015,8/15/2015,"142,637",L,"$1,694,868",59.0989301,-170.3968656
2015,Isahultila,AK,AK,Alaska,6/21/2015,8/15/2015,"128,617",L,"$10,000",60.1511078,-176.4697581
2015,Sea,AK,AK,Alaska,6/19/2015,8/8/2015,"111,193",L,"$7,000",57.7485784,-176.4919732
2015,Canyon Creek Complex,NW,OR,Oregon,8/12/2015,10/29/2015,"110,261",L,"$31,453,602",45.3298567,-122.7582617
2015,Big Mud River 1,AK,AK,Alaska,6/21/2015,8/8/2015,"103,170",L,"$5,000",64.5473187,-153.4461827
2015,Cornet-Windy Ridge,NW,OR,Oregon,8/11/2015,10/27/2015,"102,089",U,"$6,010,000",44.0653956,-125.0720746
2015,Iditarod River,AK,AK,Alaska,6/20/2015,7/25/2015,"98,183",L,"$282,298",62.5041304,-159.5768753
2015,Blazo,AK,AK,Alaska,6/19/2015,7/7/2015,"96,644",L,$0,61.1890726,-149.9006437
2015,Tepee Springs,GB,ID,Idaho,8/12/2015,10/19/2015,"95,709",L,"$31,540,000",45.2088067,-116.2893023
2015,Munsatli 2,AK,AK,Alaska,7/4/2015,8/2/2015,"95,679",L,"$6,000",63.7161286,-153.0177873
2015,Selway/Elk City/Red River Complex,NR,ID,Idaho,8/17/2015,10/29/2015,"94,921",L,"$16,000,000",45.8268807,-115.4543037
2015,Chelan Complex,NW,WA,Washington,8/14/2015,9/20/2015,"88,985",U,"$10,000,000",47.8444174,-120.0788192
2015,Clearwater/Municipal/Motorway North Complex,NR,ID,Idaho,8/10/2015,9/8/2015,"83,243",L,"$41,527,637",46.5997370,-116.0857262
2015,Grizzly Bear Complex,NW,OR,Oregon,8/13/2015,10/30/2015,"83,148",L,"$20,968,610",44.0653956,-125.0720746
