Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2013,Moore Creek,AK,Alaska,6/2/2013,8/29/2013,"157,747",L,"$371,499",,,,
2013,Stuart Creek #2,AK,Alaska,6/19/2013,8/23/2013,"87,064",H,"$20,984,698",,,,
2011,High Cascades,OR,Oregon,8/24/2011,9/21/2011,"108,154",L,"$28,294,465",,,,
2013,Mississippi,AK,Alaska,5/30/2013,11/2/2013,"67,338",H,"$5,220,000",,,,
2011,Hancock Complex,OR,Oregon,8/24/2011,9/16/2011,"57,597",L,"$2,896,867",,,,
2013,Beaver Log Lakes,AK,Alaska,6/22/2013,8/28/2013,"64,499",L,"$1,847,258",,,,
2013,Prospect Creek,AK,Alaska,6/20/2013,9/3/2013,"64,078",L,"$98,377",,,,
2007,Moose Creek WFU,ID,Idaho,8/3/2007,10/17/2007,"48,630",L,"$295,183",,,,
2013,Sandless Lake,AK,Alaska,6/25/2013,9/3/2013,"62,318",L,"$10,000",,,,
2007,Castle Rock,ID,Idaho,8/16/2007,10/22/2007,"48,520",L,"$25,000,000",,,,
2012,Wenatchee Complex,WA,Washington,9/9/2012,10/30/2012,"56,478",L,"$32,394,876",,,,
2007,Landmark Complex,ID,Idaho,8/8/2007,8/23/2007,"47,270",L,"$15,000,000",,,,
2012,Long Draw,OR,Oregon,7/8/2012,7/30/2012,"557,628",L,"$4,360,000",,,,
2013,Sulatna River,AK,Alaska,6/21/2013,8/28/2013,"47,588",L,"$7,000",,,,
2005,,GA,Georgia,,,"235,270",,,,,,
2006,,GA,Georgia,,,"158,897",,,,,,
2012,Rush,CA,California,8/12/2012,9/4/2012,"315,577",L,"$15,170,000",,,,
2012,Table Mountain,WA,Washington,9/8/2012,10/19/2012,"42,312",L,"$195,000",,,,
2012,Chips,CA,California,7/29/2012,9/8/2012,"75,431",U,"$53,300,000",,,,
2013,Colockum Tarps,WA,Washington,7/27/2013,8/18/2013,"80,184",H,"$11,000,000",,,,
2012,Lost,CA,California,8/5/2012,8/12/2012,"61,541",L,"$3,700,000",,,,
2012,Bagley,CA,California,8/18/2012,9/22/2012,"46,011",L,"$37,063,416",,,,
2007,Sawmill Complex,MT,Montana,7/31/2007,11/1/2007,"68,500",L,"$20,864,000",,,,
2013,Chisana River,AK,Alaska,5/31/2013,10/23/2013,"46,638",L,"$35,776",,,,
2012,Holloway,OR,Oregon,8/5/2012,8/23/2012,"460,850",L,"$9,166,719",,,,
2014,Funny River,AK,Alaska,5/19/2014,8/14/2014,"195,858",H,"$11,496,627",,,,
2015,Tanana Area Fires,AK,Alaska,6/19/2015,8/6/2015,"498,043",L,"$14,049,552",,,,
2014,Carlton Complex,WA,Washington,7/14/2014,8/28/2014,"256,108",L,"$68,800,000",,,,
2015,Ruby Area Fires,AK,Alaska,7/2/2015,8/4/2015,"421,613",L,"$2,845,925",,,,
2015,Sushgitit Hills,AK,Alaska,6/21/2015,8/15/2015,"270,747",L,"$51,000",,,,
2015,Holtnakatna,AK,Alaska,6/22/2015,7/6/2015,"198,133",L,$0,,,,
2007,Fool Creek,MT,Montana,6/28/2007,11/30/2007,"60,038",L,"$4,426,873",,,,
2015,North Star,WA,Washington,8/13/2015,11/30/2015,"218,138",H,"$45,000,000",,,,
2015,Aniak Complex,AK,Alaska,7/4/2015,7/19/2015,"157,783",L,"$6,492,120",,,,
2012,Miller Homestead,OR,Oregon,7/8/2012,9/21/2012,"160,853",L,"$6,000,000",,,,
2015,Rock,AK,Alaska,6/19/2015,8/15/2015,"142,637",L,"$1,694,868",,,,
2015,Isahultila,AK,Alaska,6/21/2015,8/15/2015,"128,617",L,"$10,000",,,,
2015,Sea,AK,Alaska,6/19/2015,8/8/2015,"111,193",L,"$7,000",,,,
2015,Big Mud River 1,AK,Alaska,6/21/2015,8/8/2015,"103,170",L,"$5,000",,,,
2015,Iditarod River,AK,Alaska,6/20/2015,7/25/2015,"98,183",L,"$282,298",,,,
2015,Blazo,AK,Alaska,6/19/2015,7/7/2015,"96,644",L,$0,,,,
2015,Munsatli 2,AK,Alaska,7/4/2015,8/2/2015,"95,679",L,"$6,000",,,,
2015,Torment Creek,AK,Alaska,6/20/2015,8/4/2015,"81,468",L,"$7,000",,,,
2015,Kutokbuna Lake,AK,Alaska,6/21/2015,7/2/2015,"68,320",L,"$82,167",,,,
2012,Barry Point,OR,Oregon,8/6/2012,9/17/2012,"93,071",L,"$23,247,235",,,,
2015,Okanogan Complex,WA,Washington,8/14/2015,9/29/2015,"145,282",L,$0,,,,
2015,Three Day,AK,Alaska,6/19/2015,7/7/2015,"66,703",L,$0,,,,
2012,North Pass,CA,California,8/18/2012,9/17/2012,"41,983",L,"$30,493,184",,,,
2013,Rim,CA,California,8/17/2013,10/24/2013,"257,314",U,"$127,350,000",,,,
2006,Warm Fire,AZ,Arizona,6/8/2006,8/2/2006,"58,630",L,"$7,100,000",,,,
2007,Tongue Complex,ID,Idaho,7/6/2007,7/28/2007,"46,680",L,$0,,,,
2014,Happy Camp Complex,CA,California,8/14/2014,12/4/2014,"134,056",L,"$88,214,725",,,,
2012,Cache Creek,OR,Oregon,8/20/2012,10/23/2012,"73,697",L,"$11,250,000",,,,
2014,King,CA,California,9/13/2014,10/9/2014,"97,717",H,"$119,000,000",,,,
2015,Lloyd,AK,Alaska,6/24/2015,8/14/2015,"66,267",L,"$603,744",,,,
2015,West Fork,AK,Alaska,6/19/2015,7/25/2015,"58,335",L,"$4,000",,,,
2007,Red Bridge,ID,Idaho,7/6/2007,7/12/2007,"45,862",H,$0,,,,
2008,Stiles Complex,NM,New Mexico,3/14/2008,3/16/2008,"67,008",H,"$71,644",,,,
2007,Bridge,ID,Idaho,7/25/2007,12/3/2007,"44,100",L,"$401,815",,,,
2007,Confluence Complex,ID,Idaho,8/31/2007,9/7/2007,"40,134",L,"$1,078,949",,,,
2013,West Fork Complex,CO,Colorado,6/5/2013,10/31/2013,"109,615",L,"$31,261,047",,,,
2015,Dulbi River,AK,Alaska,6/19/2015,6/25/2015,"56,687",L,$0,,,,
2015,Chelan Complex,WA,Washington,8/14/2015,9/20/2015,"88,985",U,"$10,000,000",,,,
2015,Tobatokh,AK,Alaska,6/22/2015,7/1/2015,"54,036",L,"$2,000",,,,
2015,Hardpac Creek,AK,Alaska,6/21/2015,8/3/2015,"50,482",L,"$3,000",,,,
2015,Chitanana River,AK,Alaska,6/21/2015,7/11/2015,"49,540",L,"$1,000",,,,
2015,Can Creek,AK,Alaska,6/1/2015,7/17/2015,"48,729",L,"$18,945",,,,
2013,Sunnyside Turnoff,OR,Oregon,7/20/2013,9/3/2013,"51,340",H,"$4,000,000",,,,
2013,Douglas Complex,OR,Oregon,7/26/2013,10/18/2013,"48,679",L,"$55,000,000",,,,
2015,Glacier,AK,Alaska,6/23/2015,7/28/2015,"47,333",L,"$4,000",,,,
2015,Eden Creek,AK,Alaska,6/25/2015,8/14/2015,"45,995",L,"$71,650",,,,
2013,Owyhee,OR,Oregon,7/1/2013,7/8/2013,"46,559",L,"$1,843,801",,,,
2008,Dunn Mtn. Assist,MT,Montana,8/21/2008,9/2/2008,"102,383",L,"$2,900,000",,,,
