Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2009,Stevens Creek #1,AK,Alaska,6/18/2009,11/10/2009,85909.00,L,0.00,,,,
2009,Rex Creek,AK,Alaska,8/2/2009,9/1/2009,101150.00,L,0.00,,,,
2009,Wood River 1,AK,Alaska,7/12/2009,9/10/2009,125382.00,L,0.00,,,,
2015,,WY,Wyoming,,,45561.13,,5965687.00,,,,
2009,,AZ,Arizona,,,,,,,,,
2009,Nowitna,AK,Alaska,6/13/2009,8/12/2009,126582.00,L,0.00,,,,
2010,Pat Creek,AK,Alaska,6/25/2010,12/30/2010,72692.00,L,11622393.00,,,,
2009,Zitziana,AK,Alaska,6/17/2009,8/16/2009,141125.00,L,0.00,,,,
2009,Titna River,AK,Alaska,7/11/2009,8/10/2009,164542.00,L,0.00,,,,
2009,Little Black One,AK,Alaska,6/20/2009,8/19/2009,349450.00,L,0.00,,,,
2010,Lone Mountain,AK,Alaska,5/29/2010,12/22/2010,51996.00,L,10044.00,,,,
2009,,CO,Colorado,,,,,,,,,
2007,Chimney Complex,ID,Idaho,7/13/2007,8/17/2007,51000.00,L,7409000.00,,,,
2011,East Volkmar,AK,Alaska,5/26/2011,8/10/2011,54217.00,L,6912031.00,,,,
2009,,FL,Florida,,,,,,,,,
2012,Uvgoon Creek #1,AK,Alaska,7/3/2012,11/6/2012,49305.00,L,189325.00,,,,
2012,Dry Creek,AK,Alaska,6/23/2012,11/15/2012,47154.00,L,15000.00,,,,
2009,Station,CA,California,8/26/2009,11/22/2009,160577.00,H,95510000.00,,,,
2012,Barker Canyon Complex,WA,Washington,9/8/2012,9/15/2012,81155.00,L,2290268.00,,,,
2013,Lime Hills,AK,Alaska,5/31/2013,8/29/2013,201808.00,L,2883457.00,,,,
2013,Moore Creek,AK,Alaska,6/2/2013,8/29/2013,157747.00,L,371499.00,,,,
2013,Stuart Creek #2,AK,Alaska,6/19/2013,8/23/2013,87064.00,H,20984698.00,,,,
2011,High Cascades,OR,Oregon,8/24/2011,9/21/2011,108154.00,L,28294465.00,,,,
